size,count,type,time,algbw,busbw,error,time,algbw,busbw,error
12,1,float,52.29,0.00,0.00,0e+00,50.77,0.00,0.00,0e+00
24,2,float,50.76,0.00,0.00,0e+00,50.19,0.00,0.00,0e+00
60,5,float,51.58,0.00,0.00,0e+00,50.13,0.00,0.00,0e+00
120,10,float,50.26,0.00,0.00,0e+00,49.45,0.00,0.00,0e+00
252,21,float,50.63,0.00,0.00,0e+00,51.13,0.00,0.00,0e+00
504,42,float,51.14,0.01,0.01,0e+00,50.05,0.01,0.01,0e+00
1020,85,float,54.76,0.02,0.01,0e+00,52.32,0.02,0.01,0e+00
2040,170,float,58.27,0.04,0.02,0e+00,57.52,0.04,0.02,0e+00
4092,341,float,63.95,0.06,0.04,0e+00,62.04,0.07,0.04,0e+00
8184,682,float,164.0,0.05,0.03,0e+00,107.6,0.08,0.05,0e+00
16380,1365,float,209.6,0.08,0.05,0e+00,207.5,0.08,0.05,0e+00
32760,2730,float,177.0,0.19,0.12,0e+00,214.4,0.15,0.10,0e+00
65532,5461,float,324.5,0.20,0.13,0e+00,346.4,0.19,0.13,0e+00
131064,10922,float,374.6,0.35,0.23,0e+00,375.1,0.35,0.23,0e+00
262140,21845,float,562.2,0.47,0.31,0e+00,586.4,0.45,0.30,0e+00
524280,43690,float,748.1,0.70,0.47,0e+00,721.4,0.73,0.48,0e+00
1048572,87381,float,1377.2,0.76,0.51,0e+00,1575.7,0.67,0.44,0e+00
2097144,174762,float,2462.1,0.85,0.57,0e+00,2476.5,0.85,0.56,0e+00
4194300,349525,float,4910.3,0.85,0.57,0e+00,5041.5,0.83,0.55,0e+00
8388600,699050,float,10330,0.81,0.54,0e+00,9718.0,0.86,0.58,0e+00
16777212,1398101,float,22393,0.75,0.50,0e+00,21338,0.79,0.52,0e+00
33554424,2796202,float,46864,0.72,0.48,0e+00,47065,0.71,0.48,0e+00
67108860,5592405,float,95360,0.70,0.47,0e+00,91704,0.73,0.49,0e+00
134217720,11184810,float,186049,0.72,0.48,0e+00,185304,0.72,0.48,0e+00
268435452,22369621,float,374087,0.72,0.48,0e+00,372679,0.72,0.48,0e+00
536870904,44739242,float,756612,0.71,0.47,0e+00,743184,0.72,0.48,0e+00
1073741820,89478485,float,1499491,0.72,0.48,0e+00,1481823,0.72,0.48,0e+00
